exercise_name,group,current_involvement,reviewed_involvement,status,reviewer,reviewed_date,changes_made,notes
Barbell Shrug,back,"traps:1.0, forearms:0.4","traps:primary, forearms:secondary, rhomboids:stabilizer, lowerBack:stabilizer",done,Codex,2026-07-19,added rhomboids:0.2; added lowerBack:0.2,"Shrug mapping keeps traps primary, forearms as grip stabilizers, and adds trace rhomboids/lowerBack for scapular and loaded-posture stabilization."
Single-Arm Straight-Arm Cable Pulldown,back,"lats:1.0, teresMajor:0.4, triceps:0.4","lats:primary, teresMajor:secondary, pectorals:secondary, triceps:secondary, serratus:stabilizer, abs:stabilizer",done,Codex,2026-06-27,reweighted teres 0.4->0.7; added pectorals:0.4; added serratus:0.2; added abs:0.2,"Pullover/straight-arm lat-pull mapping uses lat shoulder-extension mechanics: lats are primary, teres major assists, pectorals/triceps long head contribute shoulder extension control, serratus and abs stabilize the rib cage/scapulae."
Single-Arm Kettlebell Plank Row,back,"lats:1.0, rhomboids:1.0, biceps:0.7, abs:0.4, obliques:0.4, deltoids:0.4","lats:primary, rhomboids:primary, biceps:secondary, traps:secondary, teresMajor:secondary, deltoids:secondary, forearms:secondary, abs:secondary, obliques:secondary, lowerBack:stabilizer, pectorals:stabilizer, triceps:stabilizer",done,Codex,2026-06-27,added traps:0.4; added teresMajor:0.4; added forearms:0.4; added lowerBack:0.2; added pectorals:0.2; added triceps:0.2,"Unilateral row mapping follows the row profile with anti-rotation demand: lats/rhomboids drive the pull, biceps/traps/teres/delts/forearms assist, and abs/obliques/lowerBack stabilize the torso against rotation."
Prone T Raise,back,"lowerBack:1.0, traps:0.7, rhomboids:0.7, glutes:0.4, deltoids:0.4","lowerBack:primary, gluteMax:secondary, traps:secondary, rhomboids:secondary, deltoids:secondary, hamstrings:secondary, teresMajor:secondary, abs:stabilizer",done,Codex,2026-06-27,reweighted rhomboids 0.7->0.4; reweighted glutes 0.4->0.7; added hamstrings:0.4; added teresMajor:0.4; added abs:0.2,"Superman/Y-W back-extension mapping uses the reviewed back-extension profile plus prone scapular work: lowerBack primary, glutes/hamstrings assist hip extension, and traps/rhomboids/deltoids/teres stabilize raised arms."
Straight-Bar Cable Pulldown,back,"lats:1.0, teresMajor:0.4, triceps:0.4","lats:primary, teresMajor:secondary, triceps:secondary, pectorals:secondary, serratus:stabilizer, abs:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,reweighted teres 0.4->0.7; added pectorals:0.4; added serratus:0.2; added abs:0.2; added forearms:0.2,"Pullover/straight-arm pulldown mapping keeps lats primary, teres major, pectorals/triceps/serratus assisting shoulder extension and rib/scapular control, with abs/forearms stabilizing cable or dumbbell setup."
Rope Straight-Arm Cable Pulldown,back,"lats:1.0, teresMajor:0.4, triceps:0.4","lats:primary, teresMajor:secondary, triceps:secondary, pectorals:secondary, serratus:stabilizer, abs:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,reweighted teres 0.4->0.7; added pectorals:0.4; added serratus:0.2; added abs:0.2; added forearms:0.2,"Pullover/straight-arm pulldown mapping keeps lats primary, teres major, pectorals/triceps/serratus assisting shoulder extension and rib/scapular control, with abs/forearms stabilizing cable or dumbbell setup."
Superman,back,"lowerBack:1.0, glutes:0.7, hamstrings:0.4, traps:0.4","lowerBack:primary, gluteMax:secondary, hamstrings:secondary, traps:secondary, rhomboids:secondary, deltoids:secondary, abs:stabilizer",done,Codex,2026-06-27,added rhomboids:0.4; added deltoids:0.4; added abs:0.2,"Superman/Y-W back-extension mapping uses the reviewed back-extension profile plus prone scapular work: lowerBack primary, glutes/hamstrings assist hip extension, and traps/rhomboids/deltoids/teres stabilize raised arms."
T-Bar Row,back,"lats:1.0, rhomboids:1.0, biceps:0.7, traps:0.4, teresMajor:0.4","lats:primary, rhomboids:primary, traps:secondary, biceps:secondary, teresMajor:secondary, deltoids:secondary, forearms:secondary, pectorals:stabilizer, triceps:stabilizer",done,Codex,2026-06-27,reweighted traps 0.4->0.7; added deltoids:0.4; added forearms:0.4; added pectorals:0.2; added triceps:0.2,"Supported-row mapping uses ExRx row musculature without the bent-over lower-body brace: lats and rhomboids are primary, traps/biceps are major, teres/posterior deltoid/forearms assist, and pectorals/triceps long head remain trace dynamic stabilizers."
Towel Superman,back,"lowerBack:1.0, glutes:0.7, traps:0.7, rhomboids:0.4, hamstrings:0.4","lowerBack:primary, gluteMax:secondary, traps:secondary, rhomboids:secondary, deltoids:secondary, hamstrings:secondary, teresMajor:secondary, abs:stabilizer",done,Codex,2026-06-27,added deltoids:0.4; added teresMajor:0.4; added abs:0.2,"Superman/Y-W back-extension mapping uses the reviewed back-extension profile plus prone scapular work: lowerBack primary, glutes/hamstrings assist hip extension, and traps/rhomboids/deltoids/teres stabilize raised arms."
Trap-3 Raise,back,"traps:1.0, deltoids:0.4, rhomboids:0.4","traps:primary, deltoids:secondary, serratus:secondary, rhomboids:secondary, forearms:stabilizer",done,Codex,2026-06-27,added serratus:0.4; added forearms:0.2,"Y-raise/trap-3 mapping emphasizes lower/middle trapezius with deltoid, serratus, rhomboid, and grip assistance for scapular upward rotation and retraction."
TRX Row,back,"lats:1.0, rhomboids:1.0, biceps:0.7, traps:0.7, teresMajor:0.4, deltoids:0.4, forearms:0.2, abs:0.2","lats:primary, rhomboids:primary, traps:secondary, biceps:secondary, teresMajor:secondary, deltoids:secondary, forearms:secondary, abs:secondary, obliques:stabilizer, lowerBack:stabilizer, gluteMax:stabilizer, pectorals:stabilizer, triceps:stabilizer",done,Codex,2026-06-27,reweighted forearms 0.2->0.4; reweighted abs 0.2->0.4; added obliques:0.2; added lowerBack:0.2; added glutes:0.2; added pectorals:0.2; added triceps:0.2,"Inverted/TRX/bodyweight row mapping uses the reviewed row profile plus plank-body stabilization: lats/rhomboids are primary, traps/biceps major, posterior deltoid/teres/forearms assist, and abs/obliques/lowerBack/glutes stabilize bodyline."
Typewriter Pull-Up,back,"lats:1.0, biceps:0.7, teresMajor:0.4, rhomboids:0.4, forearms:0.4","lats:primary, biceps:secondary, teresMajor:secondary, rhomboids:secondary, traps:secondary, deltoids:secondary, forearms:secondary, abs:secondary, pectorals:stabilizer, triceps:stabilizer",done,Codex,2026-06-27,reweighted teres 0.4->0.7; added traps:0.4; added deltoids:0.4; added abs:0.4; added pectorals:0.2; added triceps:0.2,"Pull-up mapping follows NASM pull-up/pulldown mechanics: lats are primary, biceps and teres are major, rhomboids/traps/posterior delts stabilize scapulae, forearms grip, abs brace the closed-chain body, and pectorals/triceps long head stabilize shoulder/elbow control."
Underhand Lat Pulldown,back,"lats:1.0, biceps:1.0, teresMajor:0.4, rhomboids:0.4","lats:primary, biceps:primary, teresMajor:secondary, rhomboids:secondary, traps:secondary, deltoids:secondary, forearms:secondary, abs:stabilizer, pectorals:stabilizer, triceps:stabilizer",done,Codex,2026-06-27,added traps:0.4; added deltoids:0.4; added forearms:0.4; added abs:0.2; added pectorals:0.2; added triceps:0.2,"Chin-up/underhand pull mapping follows pulldown/pull-up biomechanics with supinated grip: lats remain primary, biceps rise to co-primary, forearms assist grip/elbow flexion, and scapular/trunk stabilizers are retained."
Single-Arm Cable Row,back,"lats:1.0, rhomboids:1.0, biceps:0.7, traps:0.4, teresMajor:0.4","lats:primary, rhomboids:primary, traps:secondary, biceps:secondary, teresMajor:secondary, deltoids:secondary, forearms:secondary, lowerBack:secondary, pectorals:stabilizer, triceps:stabilizer, hamstrings:stabilizer, gluteMax:stabilizer, adductors:stabilizer, abs:stabilizer",done,Codex,2026-06-27,reweighted traps 0.4->0.7; added deltoids:0.4; added forearms:0.4; added lowerBack:0.4; added pectorals:0.2; added triceps:0.2; added hamstrings:0.2; added glutes:0.2; added adductors:0.2; added abs:0.2,"Cable/seated row mapping follows ExRx cable seated row: lats/rhomboids/traps are central back contributors, biceps/forearms and posterior delts assist, lowerBack extends/braces the row, pectorals/triceps are trace dynamic stabilizers, and hamstrings/glutes/adductors stabilize the seated pull."
Machine Upper-Back Row,back,"rhomboids:1.0, traps:0.7, teresMajor:0.7, deltoids:0.4, lats:0.4, biceps:0.2","rhomboids:primary, traps:secondary, teresMajor:secondary, deltoids:secondary, lats:secondary, biceps:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added forearms:0.2,"Supported-row mapping uses ExRx row musculature without the bent-over lower-body brace: lats and rhomboids are primary, traps/biceps are major, teres/posterior deltoid/forearms assist, and pectorals/triceps long head remain trace dynamic stabilizers. Generic upper-back machine keeps rhomboids/traps/teres dominant and adds trace forearm grip."
Wide-Grip Lat Pulldown,back,"lats:1.0, biceps:0.7, teresMajor:0.4, rhomboids:0.4, traps:0.4","lats:primary, teresMajor:secondary, biceps:secondary, rhomboids:secondary, traps:secondary, deltoids:secondary, forearms:secondary, abs:stabilizer, pectorals:stabilizer, triceps:stabilizer",done,Codex,2026-06-27,reweighted biceps 0.7->0.4; reweighted teres 0.4->0.7; added deltoids:0.4; added forearms:0.4; added abs:0.2; added pectorals:0.2; added triceps:0.2,"Wide-grip pulldown/pull-up mapping uses NASM grip research: lats and teres stay dominant, biceps contribution is reduced relative to close/supinated grips, and scapular/back/trunk stabilizers remain present."
Barbell Bench Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Flat bench/chest-press mapping follows ExRx dumbbell bench and bench-press EMG evidence: pectorals are primary, triceps and anterior deltoids are synergists, and biceps short head contributes as a trace dynamic stabilizer during shoulder/elbow control."
Dumbbell Bench Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Flat bench/chest-press mapping follows ExRx dumbbell bench and bench-press EMG evidence: pectorals are primary, triceps and anterior deltoids are synergists, and biceps short head contributes as a trace dynamic stabilizer during shoulder/elbow control."
Bent-Over Cable Fly,chest,"pectorals:1.0, deltoids:0.4","pectorals:primary, deltoids:secondary, biceps:stabilizer, triceps:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added biceps:0.2; added triceps:0.2; added forearms:0.2,"Chest-fly mapping follows ExRx dumbbell fly: pectorals are primary, anterior deltoid assists, biceps short head contributes to horizontal flexion/control, and triceps/forearms stabilize elbow and grip; machine variants reduce grip demand."
Single-Arm Decline Cable Chest Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Decline press mapping follows ExRx decline bench: sternal pectorals are primary, clavicular pec/anterior deltoid/triceps assist, and biceps contributes trace dynamic stabilization."
Single-Arm Incline Cable Chest Press,chest,"pectorals:1.0, deltoids:0.7, triceps:0.4","pectorals:primary, deltoids:secondary, triceps:secondary, serratus:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,reweighted triceps 0.4->0.7; added serratus:0.2; added biceps:0.2,"Incline press mapping follows ExRx incline bench and bench-angle EMG evidence: pectorals remain primary, anterior deltoids rise to major, triceps are a meaningful elbow-extension synergist, and serratus/biceps provide trace stabilization."
High-to-Low Cable Chest Fly,chest,"pectorals:1.0, deltoids:0.4","pectorals:primary, deltoids:secondary, biceps:stabilizer, triceps:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added biceps:0.2; added triceps:0.2; added forearms:0.2,"Chest-fly mapping follows ExRx dumbbell fly: pectorals are primary, anterior deltoid assists, biceps short head contributes to horizontal flexion/control, and triceps/forearms stabilize elbow and grip; machine variants reduce grip demand."
Mid-Height Cable Chest Fly,chest,"pectorals:1.0, deltoids:0.4","pectorals:primary, deltoids:secondary, biceps:stabilizer, triceps:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added biceps:0.2; added triceps:0.2; added forearms:0.2,"Chest-fly mapping follows ExRx dumbbell fly: pectorals are primary, anterior deltoid assists, biceps short head contributes to horizontal flexion/control, and triceps/forearms stabilize elbow and grip; machine variants reduce grip demand."
Low-to-High Cable Chest Fly,chest,"pectorals:1.0, deltoids:0.4","pectorals:primary, deltoids:secondary, biceps:stabilizer, triceps:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,reweighted deltoids 0.4->0.7; added biceps:0.2; added triceps:0.2; added forearms:0.2,"Chest-fly mapping follows ExRx dumbbell fly: pectorals are primary, anterior deltoid assists, biceps short head contributes to horizontal flexion/control, and triceps/forearms stabilize elbow and grip; machine variants reduce grip demand. Incline/upper-line fly raises anterior-deltoid contribution."
Cable Press-Around,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4, serratus:0.4","pectorals:primary, serratus:secondary, triceps:secondary, deltoids:secondary, obliques:stabilizer, abs:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,reweighted triceps 0.7->0.4; reweighted serratus 0.4->0.7; added obliques:0.2; added abs:0.2; added biceps:0.2,"Cable press-around mapping follows horizontal press mechanics with greater scapular protraction and unilateral anti-rotation: pectorals are primary, serratus is major, triceps/deltoids assist, and trunk/biceps stabilize."
Clap Push-Up,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, serratus:secondary, abs:secondary, obliques:stabilizer, quads:stabilizer, lowerBack:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,added serratus:0.4; added abs:0.4; added obliques:0.2; added quads:0.2; added lowerBack:0.2; added biceps:0.2,"Push-up mapping follows ExRx push-up: pectorals are primary, triceps and anterior deltoids assist, serratus anterior plus abs/obliques/quads stabilize the plank, lowerBack acts as antagonist stabilizer, and biceps is trace dynamic stabilizer."
Underhand-Grip Dumbbell Bench Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Flat bench/chest-press mapping follows ExRx dumbbell bench and bench-press EMG evidence: pectorals are primary, triceps and anterior deltoids are synergists, and biceps short head contributes as a trace dynamic stabilizer during shoulder/elbow control."
Decline Barbell Bench Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Decline press mapping follows ExRx decline bench: sternal pectorals are primary, clavicular pec/anterior deltoid/triceps assist, and biceps contributes trace dynamic stabilization."
Decline Dumbbell Bench Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Decline press mapping follows ExRx decline bench: sternal pectorals are primary, clavicular pec/anterior deltoid/triceps assist, and biceps contributes trace dynamic stabilization."
Decline Push-Up,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, deltoids:secondary, triceps:secondary, serratus:secondary, abs:secondary, obliques:stabilizer, quads:stabilizer, lowerBack:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,reweighted deltoids 0.4->0.7; added serratus:0.4; added abs:0.4; added obliques:0.2; added quads:0.2; added lowerBack:0.2; added biceps:0.2,"Decline push-up mapping uses the ExRx incline-bench/decline-push-up relationship: elevated feet increase anterior-deltoid demand while preserving pectorals/triceps, serratus, trunk, and plank stabilizers."
Deficit Push-Up,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, serratus:secondary, abs:secondary, obliques:stabilizer, quads:stabilizer, lowerBack:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,added serratus:0.4; added abs:0.4; added obliques:0.2; added quads:0.2; added lowerBack:0.2; added biceps:0.2,"Push-up mapping follows ExRx push-up: pectorals are primary, triceps and anterior deltoids assist, serratus anterior plus abs/obliques/quads stabilize the plank, lowerBack acts as antagonist stabilizer, and biceps is trace dynamic stabilizer."
Chest Dip,chest,"pectorals:1.0, triceps:1.0, deltoids:0.4","pectorals:primary, triceps:primary, deltoids:secondary, serratus:stabilizer, lats:stabilizer, traps:stabilizer, abs:stabilizer",done,Codex,2026-06-27,added serratus:0.2; added lats:0.2; added traps:0.2; added abs:0.2,"Dip mapping uses ExRx dip mechanics and dip EMG references: chest-oriented dips load pectorals and triceps as co-primary movers, anterior deltoids assist, and lats/traps/serratus/trunk stabilize the shoulder girdle and body position."
Dumbbell Floor Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Flat bench/chest-press mapping follows ExRx dumbbell bench and bench-press EMG evidence: pectorals are primary, triceps and anterior deltoids are synergists, and biceps short head contributes as a trace dynamic stabilizer during shoulder/elbow control."
Dumbbell Hex Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Flat bench/chest-press mapping follows ExRx dumbbell bench and bench-press EMG evidence: pectorals are primary, triceps and anterior deltoids are synergists, and biceps short head contributes as a trace dynamic stabilizer during shoulder/elbow control."
Push-Up on Dumbbells,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, forearms:stabilizer, serratus:secondary, abs:secondary, obliques:stabilizer, quads:stabilizer, lowerBack:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,added forearms:0.2; added serratus:0.4; added abs:0.4; added obliques:0.2; added quads:0.2; added lowerBack:0.2; added biceps:0.2,"Push-up mapping follows ExRx push-up: pectorals are primary, triceps and anterior deltoids assist, serratus anterior plus abs/obliques/quads stabilize the plank, lowerBack acts as antagonist stabilizer, and biceps is trace dynamic stabilizer. Handles/bands add trace forearm stabilization."
Elbows-Tucked Dumbbell Bench Press,chest,"triceps:1.0, pectorals:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-07-19,reweighted triceps 1.0->0.7; reweighted pectorals 0.7->1.0; added biceps:0.2,"Flat bench/chest-press mapping follows ExRx dumbbell bench and bench-press EMG evidence: pectorals are primary, triceps and anterior deltoids are synergists, and biceps short head contributes as a trace dynamic stabilizer during shoulder/elbow control."
Fingertip Push-Up,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4, forearms:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, forearms:secondary, serratus:secondary, abs:secondary, obliques:stabilizer, quads:stabilizer, lowerBack:stabilizer, biceps:stabilizer",done,Codex,2026-07-19,added serratus:0.4; added abs:0.4; added obliques:0.2; added quads:0.2; added lowerBack:0.2; added biceps:0.2,"Push-up mapping follows ExRx push-up: pectorals are primary, triceps and anterior deltoids assist, serratus anterior plus abs/obliques/quads stabilize the plank, lowerBack acts as antagonist stabilizer, and biceps is trace dynamic stabilizer. Finger support adds forearm loading."
Dumbbell Chest Fly,chest,"pectorals:1.0, deltoids:0.4","pectorals:primary, deltoids:secondary, biceps:stabilizer, triceps:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added biceps:0.2; added triceps:0.2; added forearms:0.2,"Chest-fly mapping follows ExRx dumbbell fly: pectorals are primary, anterior deltoid assists, biceps short head contributes to horizontal flexion/control, and triceps/forearms stabilize elbow and grip; machine variants reduce grip demand."
Decline Dumbbell Chest Fly,chest,"pectorals:1.0, deltoids:0.4","pectorals:primary, deltoids:secondary, biceps:stabilizer, triceps:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added biceps:0.2; added triceps:0.2; added forearms:0.2,"Chest-fly mapping follows ExRx dumbbell fly: pectorals are primary, anterior deltoid assists, biceps short head contributes to horizontal flexion/control, and triceps/forearms stabilize elbow and grip; machine variants reduce grip demand."
Single-Arm Dumbbell Glute Bridge Press,chest,"pectorals:1.0, triceps:1.0, glutes:0.7, deltoids:0.4, abs:0.4","pectorals:primary, triceps:secondary, gluteMax:secondary, deltoids:secondary, abs:secondary, obliques:secondary, hamstrings:secondary, lowerBack:stabilizer, biceps:stabilizer",done,Codex,2026-07-19,reweighted triceps 1.0->0.7; added obliques:0.4; added hamstrings:0.4; added lowerBack:0.2; added biceps:0.2,"Glute-bridge press mapping combines reviewed flat-press and glute-bridge mechanics: pectorals are primary, triceps/deltoids press, glutes/hamstrings hold the bridge, and abs/obliques/lowerBack stabilize pelvis and trunk."
Plate-Loaded Decline Machine Chest Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Decline press mapping follows ExRx decline bench: sternal pectorals are primary, clavicular pec/anterior deltoid/triceps assist, and biceps contributes trace dynamic stabilization."
High-Incline Smith Machine Press,chest,"pectorals:1.0, deltoids:0.7, triceps:0.4","pectorals:primary, deltoids:secondary, triceps:secondary, serratus:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,reweighted triceps 0.4->0.7; added serratus:0.2; added biceps:0.2,"Incline press mapping follows ExRx incline bench and bench-angle EMG evidence: pectorals remain primary, anterior deltoids rise to major, triceps are a meaningful elbow-extension synergist, and serratus/biceps provide trace stabilization."
Incline Barbell Bench Press,chest,"pectorals:1.0, deltoids:0.7, triceps:0.4","pectorals:primary, deltoids:secondary, triceps:secondary, serratus:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,reweighted triceps 0.4->0.7; added serratus:0.2; added biceps:0.2,"Incline press mapping follows ExRx incline bench and bench-angle EMG evidence: pectorals remain primary, anterior deltoids rise to major, triceps are a meaningful elbow-extension synergist, and serratus/biceps provide trace stabilization."
Incline Dumbbell Chest Fly,chest,"pectorals:1.0, deltoids:0.4","pectorals:primary, deltoids:secondary, biceps:stabilizer, triceps:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,reweighted deltoids 0.4->0.7; added biceps:0.2; added triceps:0.2; added forearms:0.2,"Chest-fly mapping follows ExRx dumbbell fly: pectorals are primary, anterior deltoid assists, biceps short head contributes to horizontal flexion/control, and triceps/forearms stabilize elbow and grip; machine variants reduce grip demand. Incline/upper-line fly raises anterior-deltoid contribution."
Incline Dumbbell Bench Press,chest,"pectorals:1.0, deltoids:0.7, triceps:0.4","pectorals:primary, deltoids:secondary, triceps:secondary, serratus:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,reweighted triceps 0.4->0.7; added serratus:0.2; added biceps:0.2,"Incline press mapping follows ExRx incline bench and bench-angle EMG evidence: pectorals remain primary, anterior deltoids rise to major, triceps are a meaningful elbow-extension synergist, and serratus/biceps provide trace stabilization."
Incline Push-Up,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, serratus:secondary, abs:stabilizer, obliques:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,added serratus:0.4; added abs:0.2; added obliques:0.2; added biceps:0.2,"Push-up mapping follows ExRx push-up: pectorals are primary, triceps and anterior deltoids assist, serratus anterior plus abs/obliques/quads stabilize the plank, lowerBack acts as antagonist stabilizer, and biceps is trace dynamic stabilizer. Hand elevation reduces plank/lower-body demand while preserving serratus and trunk bracing."
Incline Scapular Push-Up,chest,"serratus:1.0, deltoids:0.4, pectorals:0.4","serratus:primary, deltoids:secondary, pectorals:secondary, triceps:stabilizer, abs:stabilizer, obliques:stabilizer",done,Codex,2026-06-27,added triceps:0.2; added abs:0.2; added obliques:0.2,"Incline shoulder press-up is treated as a push-up-plus/scapular-protraction pattern: serratus is primary, pectorals/deltoids/triceps assist lightly, and abs/obliques brace the plank."
Moderate-Incline Smith Machine Press,chest,"pectorals:1.0, deltoids:0.7, triceps:0.4","pectorals:primary, deltoids:secondary, triceps:secondary, serratus:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,reweighted triceps 0.4->0.7; added serratus:0.2; added biceps:0.2,"Incline press mapping follows ExRx incline bench and bench-angle EMG evidence: pectorals remain primary, anterior deltoids rise to major, triceps are a meaningful elbow-extension synergist, and serratus/biceps provide trace stabilization."
Incline Dumbbell Press Hold,chest,"pectorals:1.0, deltoids:0.4","pectorals:primary, deltoids:secondary, biceps:stabilizer, triceps:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,reweighted deltoids 0.4->0.7; added biceps:0.2; added triceps:0.2; added forearms:0.2,"Chest-fly mapping follows ExRx dumbbell fly: pectorals are primary, anterior deltoid assists, biceps short head contributes to horizontal flexion/control, and triceps/forearms stabilize elbow and grip; machine variants reduce grip demand. Incline/upper-line fly raises anterior-deltoid contribution."
Isometric Wall Press,chest,"pectorals:1.0, deltoids:0.7, triceps:0.7, serratus:0.4, abs:0.2","pectorals:primary, deltoids:secondary, triceps:secondary, serratus:secondary, abs:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Isometric push holds/wipers use the flat push pattern without full concentric motion: pectorals stay primary, deltoids/triceps assist, serratus and trunk stabilize the shoulder girdle and torso, and biceps contributes trace dynamic control."
Push-Up Wiper,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4, abs:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, serratus:secondary, abs:secondary, obliques:secondary, biceps:stabilizer",done,Codex,2026-06-27,added serratus:0.4; added obliques:0.4; added biceps:0.2,"Isometric push holds/wipers use the flat push pattern without full concentric motion: pectorals stay primary, deltoids/triceps assist, serratus and trunk stabilize the shoulder girdle and torso, and biceps contributes trace dynamic control. Wiper motion adds oblique anti-rotation."
Band-Resisted Push-Up on Kettlebells,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4, serratus:0.2, abs:0.2","pectorals:primary, triceps:secondary, deltoids:secondary, forearms:stabilizer, serratus:secondary, abs:secondary, obliques:stabilizer, quads:stabilizer, lowerBack:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,reweighted serratus 0.2->0.4; reweighted abs 0.2->0.4; added forearms:0.2; added obliques:0.2; added quads:0.2; added lowerBack:0.2; added biceps:0.2,"Push-up mapping follows ExRx push-up: pectorals are primary, triceps and anterior deltoids assist, serratus anterior plus abs/obliques/quads stabilize the plank, lowerBack acts as antagonist stabilizer, and biceps is trace dynamic stabilizer. Handles/bands add trace forearm stabilization."
Knee Push-Up,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, serratus:secondary, abs:stabilizer, obliques:stabilizer, biceps:stabilizer",done,Codex,2026-07-19,added serratus:0.4; added abs:0.2; added obliques:0.2; added biceps:0.2,"Push-up mapping follows ExRx push-up: pectorals are primary, triceps and anterior deltoids assist, serratus anterior plus abs/obliques/quads stabilize the plank, lowerBack acts as antagonist stabilizer, and biceps is trace dynamic stabilizer. Knee support reduces quadriceps/lowerBack plank demand, so those are omitted."
Barbell Larsen Press,chest,"pectorals:1.0, triceps:0.7, deltoids:0.4","pectorals:primary, triceps:secondary, deltoids:secondary, biceps:stabilizer",done,Codex,2026-06-27,added biceps:0.2,"Flat bench/chest-press mapping follows ExRx dumbbell bench and bench-press EMG evidence: pectorals are primary, triceps and anterior deltoids are synergists, and biceps short head contributes as a trace dynamic stabilizer during shoulder/elbow control."
Plate-Loaded Incline Machine Chest Press,chest,"pectorals:1.0, deltoids:0.7, triceps:0.4","pectorals:primary, deltoids:secondary, triceps:secondary, serratus:stabilizer, biceps:stabilizer",done,Codex,2026-06-27,reweighted triceps 0.4->0.7; added serratus:0.2; added biceps:0.2,"Incline press mapping follows ExRx incline bench and bench-angle EMG evidence: pectorals remain primary, anterior deltoids rise to major, triceps are a meaningful elbow-extension synergist, and serratus/biceps provide trace stabilization."
